2.5e-06 -0.0048828125 -0.00859375	0.027734375 0.9970703125
0.00049 0.027734375 0.03466796875	0.02802734375 1.173828125
0.0004925 0.0279296875 0.03466796875	0.0279296875 1.1728515625
0.000495 0.027734375 0.0341796875	0.027734375 1.1728515625
0.0004975 0.027734375 0.03447265625	0.0279296875 1.1728515625
0.0005 0.027734375 0.034375	0.028125 1.171875
0.0005025 0.02783203125 0.03447265625	0.0279296875 1.1728515625
0.000505 0.027734375 0.03466796875	0.02783203125 1.1728515625
0.0005075 0.02763671875 0.034375	0.027734375 1.1728515625
0.00051 0.027734375 0.03447265625	0.02763671875 1.171875
0.0005125 0.02763671875 0.03447265625	0.027734375 1.1728515625
0.000515 0.02763671875 0.03466796875	0.027734375 1.1728515625
0.0005175 0.0275390625 0.0341796875	0.02763671875 1.1728515625
0.00052 0.0275390625 0.03447265625	0.02763671875 1.1728515625
0.0005225 0.0275390625 0.03427734375	0.0275390625 1.171875
0.000525 0.02763671875 0.034765625	0.02763671875 1.171875
0.0005275 0.02734375 0.033984375	0.02763671875 1.1728515625
0.00053 0.02734375 0.0341796875	0.02783203125 1.1728515625
0.0005325 0.0275390625 0.03427734375	0.0275390625 1.171875
0.000535 0.02744140625 0.03447265625	0.02744140625 1.171875
0.0005375 0.02744140625 0.03408203125	0.02744140625 1.171875
0.00054 0.02734375 0.03408203125	0.0275390625 1.171875
0.0005425 0.02724609375 0.033984375	0.02734375 1.171875
0.000545 0.02724609375 0.033984375	0.02734375 1.171875
0.0005475 0.02734375 0.03408203125	0.02734375 1.171875
0.00055 0.0271484375 0.0337890625	0.02734375 1.1728515625
0.0005525 0.0271484375 0.0337890625	0.02744140625 1.171875
0.000555 0.026953125 0.03369140625	0.02734375 1.171875
0.0005575 0.02705078125 0.03388671875	0.02724609375 1.1708984375
0.00056 0.02705078125 0.0337890625	0.02724609375 1.171875
0.0005625 0.02705078125 0.0337890625	0.02734375 1.171875
0.000565 0.02705078125 0.03369140625	0.0271484375 1.171875
0.0005675 0.026953125 0.0337890625	0.02724609375 1.1708984375
0.00057 0.0271484375 0.03388671875	0.0271484375 1.1708984375
0.0005725 0.02705078125 0.03369140625	0.02705078125 1.171875
0.000575 0.02685546875 0.0333984375	0.02705078125 1.171875
0.0005775 0.026953125 0.03369140625	0.0271484375 1.171875
0.00058 0.02685546875 0.0333984375	0.026953125 1.1708984375
0.0005825 0.02685546875 0.03359375	0.026953125 1.1708984375
0.000585 0.02685546875 0.0333984375	0.026953125 1.1708984375
0.0005875 0.026953125 0.0333984375	0.026953125 1.1708984375
0.00059 0.02685546875 0.03349609375	0.02685546875 1.171875
0.0005925 0.026953125 0.03388671875	0.026953125 1.1708984375
0.000595 0.026953125 0.03359375	0.02685546875 1.1708984375
0.0005975 0.026953125 0.0337890625	0.02685546875 1.1708984375
0.0006 0.0267578125 0.03330078125	0.02685546875 1.171875
0.0006025 0.0267578125 0.03330078125	0.026953125 1.1708984375
0.000605 0.0267578125 0.0333984375	0.026953125 1.1708984375
0.0006075 0.02666015625 0.03330078125	0.02666015625 1.1708984375
0.00061 0.02666015625 0.0333984375	0.0265625 1.169921875
0.0006125 0.02666015625 0.03330078125	0.0267578125 1.1708984375
0.000615 0.0267578125 0.03330078125	0.02666015625 1.1708984375
0.0006175 0.02685546875 0.03359375	0.0267578125 1.1708984375
0.00062 0.02666015625 0.03330078125	0.02646484375 1.1708984375
0.0006225 0.0267578125 0.033203125	0.02666015625 1.169921875
0.000625 0.0265625 0.03330078125	0.02666015625 1.1708984375
0.0006275 0.02646484375 0.03291015625	0.0265625 1.1708984375
0.00063 0.0267578125 0.03310546875	0.02666015625 1.171875
0.0006325 0.02646484375 0.0330078125	0.02646484375 1.169921875
0.000635 0.02666015625 0.033203125	0.0265625 1.1708984375
0.0006375 0.0265625 0.0330078125	0.02646484375 1.1708984375
0.00064 0.0265625 0.03310546875	0.0267578125 1.1708984375
0.0006425 0.02666015625 0.0333984375	0.02646484375 1.169921875
0.000645 0.02646484375 0.0330078125	0.02646484375 1.1708984375
0.0006475 0.02646484375 0.0330078125	0.02646484375 1.169921875
0.00065 0.0263671875 0.0326171875	0.02626953125 1.169921875
0.0006525 0.02646484375 0.03330078125	0.02626953125 1.169921875
0.000655 0.02626953125 0.0326171875	0.0263671875 1.1708984375
0.0006575 0.02626953125 0.0328125	0.0263671875 1.169921875
0.00066 0.0263671875 0.0330078125	0.02626953125 1.169921875
0.0006625 0.02646484375 0.03291015625	0.0263671875 1.169921875
0.000665 0.02626953125 0.03251953125	0.02626953125 1.1708984375
0.0006675 0.0263671875 0.0330078125	0.02626953125 1.169921875
0.00067 0.0263671875 0.03271484375	0.02626953125 1.169921875
0.0006725 0.02607421875 0.0318359375	0.026171875 1.169921875
0.000675 0.02626953125 0.03251953125	0.02626953125 1.169921875
0.0006775 0.02646484375 0.03291015625	0.026171875 1.169921875
0.00068 0.026171875 0.032421875	0.02626953125 1.169921875
0.0006825 0.02607421875 0.0328125	0.026171875 1.169921875
0.000685 0.026171875 0.0326171875	0.02626953125 1.169921875
0.0006875 0.02626953125 0.032421875	0.026171875 1.1708984375
0.00069 0.026171875 0.03232421875	0.0259765625 1.1689453125
0.0006925 0.02646484375 0.03349609375	0.02607421875 1.169921875
0.000695 0.02607421875 0.0322265625	0.02607421875 1.169921875
