0.000424 0.0279296875 0.04326171875	0.028125 1.1630859375
0.000426 0.02841796875 0.04482421875	0.028125 1.1630859375
0.000428 0.0283203125 0.04423828125	0.028515625 1.1650390625
0.00043 0.02822265625 0.04404296875	0.02802734375 1.1630859375
0.000432 0.02783203125 0.04345703125	0.0279296875 1.162109375
0.000434 0.02783203125 0.0431640625	0.0279296875 1.162109375
0.000436 0.0279296875 0.04365234375	0.02861328125 1.1640625
0.000438 0.02783203125 0.04326171875	0.02802734375 1.1630859375
0.00044 0.0279296875 0.043359375	0.02763671875 1.16015625
0.000442 0.0279296875 0.043359375	0.028125 1.1630859375
0.000444 0.028125 0.04384765625	0.028125 1.1630859375
0.000446 0.0275390625 0.0427734375	0.02802734375 1.1630859375
0.000448 0.027734375 0.0431640625	0.027734375 1.162109375
0.00045 0.027734375 0.0431640625	0.0279296875 1.1611328125
0.000452 0.0275390625 0.04306640625	0.0279296875 1.162109375
0.000454 0.02763671875 0.0427734375	0.027734375 1.162109375
0.000456 0.02734375 0.04208984375	0.0271484375 1.1591796875
0.000458 0.0275390625 0.04296875	0.02802734375 1.1630859375
0.00046 0.02763671875 0.04326171875	0.0275390625 1.1611328125
0.000462 0.0271484375 0.0419921875	0.02783203125 1.162109375
0.000464 0.02724609375 0.04228515625	0.0271484375 1.16015625
0.000466 0.02734375 0.0423828125	0.02763671875 1.1611328125
0.000468 0.02744140625 0.04287109375	0.027734375 1.162109375
0.00047 0.0275390625 0.04296875	0.02734375 1.162109375
0.000472 0.02783203125 0.04384765625	0.0271484375 1.16015625
0.000474 0.02744140625 0.04306640625	0.02734375 1.1611328125
0.000476 0.02724609375 0.042578125	0.02763671875 1.162109375
0.000478 0.0271484375 0.0421875	0.02763671875 1.162109375
0.00048 0.02734375 0.042578125	0.02763671875 1.162109375
0.000482 0.02724609375 0.04267578125	0.02724609375 1.1611328125
0.000484 0.02734375 0.0427734375	0.0275390625 1.162109375
0.000486 0.027734375 0.04365234375	0.027734375 1.1630859375
0.000488 0.02744140625 0.04287109375	0.02685546875 1.1591796875
0.00049 0.02705078125 0.04208984375	0.02724609375 1.16015625
0.000492 0.0271484375 0.04208984375	0.0279296875 1.1640625
0.000494 0.02705078125 0.04228515625	0.02744140625 1.162109375
0.000496 0.02724609375 0.04228515625	0.02724609375 1.1611328125
0.000498 0.02724609375 0.04267578125	0.02724609375 1.1611328125
0.0005 0.02744140625 0.04306640625	0.02724609375 1.1611328125
0.000502 0.02724609375 0.04287109375	0.0283203125 1.1650390625
0.000504 0.02724609375 0.0427734375	0.02666015625 1.16015625
0.000506 0.02666015625 0.0412109375	0.0271484375 1.1611328125
0.000508 0.02724609375 0.042578125	0.02734375 1.162109375
0.00051 0.02705078125 0.0421875	0.02705078125 1.162109375
0.000512 0.02705078125 0.0423828125	0.02705078125 1.1611328125
0.000514 0.02705078125 0.04248046875	0.0271484375 1.1611328125
0.000516 0.02724609375 0.04267578125	0.0275390625 1.1630859375
0.000518 0.02744140625 0.043359375	0.02744140625 1.1630859375
0.00052 0.02685546875 0.0419921875	0.02685546875 1.16015625
0.000522 0.02685546875 0.0421875	0.02685546875 1.16015625
0.000524 0.0271484375 0.04267578125	0.026953125 1.1611328125
0.000526 0.02724609375 0.04287109375	0.02705078125 1.1611328125
0.000528 0.0265625 0.04140625	0.026953125 1.1611328125
0.00053 0.026953125 0.0423828125	0.0265625 1.158203125
0.000532 0.026953125 0.0423828125	0.0271484375 1.1611328125
0.000534 0.02705078125 0.042578125	0.02744140625 1.1630859375
0.000536 0.02744140625 0.0431640625	0.02724609375 1.162109375
0.000538 0.0275390625 0.0439453125	0.02685546875 1.16015625
0.00054 0.02705078125 0.04287109375	0.02685546875 1.16015625
0.000542 0.0267578125 0.04208984375	0.026953125 1.16015625
0.000544 0.0267578125 0.0421875	0.0267578125 1.1611328125
0.000546 0.02646484375 0.04150390625	0.02666015625 1.16015625
0.000548 0.0267578125 0.04208984375	0.02666015625 1.16015625
0.00055 0.02685546875 0.0423828125	0.02763671875 1.1630859375
0.000552 0.02734375 0.0435546875	0.026953125 1.1611328125
0.000554 0.02724609375 0.0431640625	0.02666015625 1.16015625
0.000556 0.0267578125 0.04228515625	0.02685546875 1.16015625
0.000558 0.02666015625 0.041796875	0.02724609375 1.162109375
0.00056 0.0265625 0.04189453125	0.02685546875 1.1611328125
0.000562 0.02666015625 0.0421875	0.02607421875 1.158203125
0.000564 0.0265625 0.0419921875	0.0267578125 1.16015625
0.000566 0.02705078125 0.0431640625	0.026953125 1.1611328125
0.000568 0.026953125 0.0427734375	0.02685546875 1.1611328125
0.00057 0.026953125 0.04287109375	0.0265625 1.1591796875
0.000572 0.02646484375 0.04208984375	0.0265625 1.16015625
0.000574 0.02646484375 0.04169921875	0.02666015625 1.16015625
0.000576 0.0265625 0.041796875	0.0267578125 1.1611328125
0.000578 0.0263671875 0.0416015625	0.0259765625 1.158203125
0.00058 0.0263671875 0.04169921875	0.0265625 1.16015625
0.000582 0.02705078125 0.04345703125	0.02666015625 1.16015625
0.000584 0.0263671875 0.0421875	0.0265625 1.16015625
0.000586 0.02666015625 0.0423828125	0.02587890625 1.158203125
0.000588 0.0263671875 0.04189453125	0.0263671875 1.16015625
0.00059 0.02626953125 0.041796875	0.02666015625 1.1611328125
0.000592 0.026171875 0.0412109375	0.0265625 1.16015625
0.000594 0.0263671875 0.04189453125	0.026171875 1.16015625
